Date,Open,High,Low,Close,Adj Close,Volume
2020-09-17,4704.000000,4845.549805,4654.950195,4827.250000,4707.548828,8429918
2020-09-18,5000.000000,5496.950195,4950.250000,5333.350098,5201.099121,21987078
2020-09-21,5333.350098,5512.649902,5111.250000,5142.000000,5014.494141,12743396
2020-09-22,5214.000000,5260.000000,5055.000000,5167.950195,5039.800781,7703348
2020-09-23,5256.000000,5280.000000,5059.399902,5107.750000,4981.093262,5013318
2020-09-24,5060.000000,5202.899902,5002.500000,5027.399902,4902.735840,5197979
2020-09-25,5120.000000,5153.000000,5044.000000,5112.200195,4985.433105,3514223
2020-09-28,5199.950195,5200.000000,5090.799805,5129.850098,5002.645020,2497580
2020-09-29,5130.000000,5154.950195,5066.399902,5084.200195,4958.127441,1429297
2020-09-30,5100.000000,5318.000000,5085.000000,5187.799805,5059.158691,5395536
2020-10-01,5225.000000,5256.000000,5088.399902,5112.049805,4985.286621,2277137
2020-10-05,5170.000000,5190.000000,5103.000000,5159.500000,5031.560547,1837678
2020-10-06,5159.500000,5226.750000,5112.200195,5136.500000,5009.130371,1690007
2020-10-07,5145.000000,5195.000000,5093.200195,5104.950195,4978.363281,1582414
2020-10-08,5144.000000,5214.799805,5056.000000,5194.399902,5065.594727,2220555
2020-10-09,5151.000000,5258.000000,5136.000000,5153.000000,5025.221191,2333975
2020-10-12,5158.100098,5238.000000,5111.000000,5220.500000,5091.048340,1935797
2020-10-13,5230.000000,5322.799805,5157.850098,5168.750000,5040.580566,3363974
2020-10-14,5175.000000,5219.750000,5090.850098,5123.000000,4995.965332,1864526
2020-10-15,5148.649902,5165.000000,5020.100098,5056.250000,4930.871094,1768418
2020-10-16,5036.000000,5125.000000,5020.000000,5080.549805,4954.567871,2023105
2020-10-19,5211.000000,5215.000000,5042.049805,5058.149902,4932.723633,2150654
2020-10-20,5056.950195,5110.000000,5030.950195,5071.149902,4945.400879,1380290
2020-10-21,5096.549805,5096.549805,4906.549805,5046.750000,4921.605957,1601391
2020-10-22,5036.700195,5044.700195,4831.000000,5022.000000,4897.470215,4918148
2020-10-23,5051.000000,5091.000000,4996.000000,5018.250000,4893.812500,1817481
2020-10-26,5008.000000,5062.000000,4951.250000,4978.100098,4854.658691,1408077
2020-10-27,4990.000000,5127.000000,4960.500000,5099.399902,4972.950684,1843434
2020-10-28,5110.000000,5150.000000,4920.000000,4951.000000,4828.229980,3628282
2020-10-29,4920.000000,5040.000000,4894.950195,4941.950195,4819.404785,2310237
2020-10-30,4974.000000,4978.049805,4870.149902,4888.649902,4767.425781,1263391
2020-11-02,4896.000000,4920.000000,4820.799805,4858.649902,4738.170410,1170993
2020-11-03,4851.000000,4920.000000,4831.100098,4877.350098,4756.406738,1460820
2020-11-04,4901.750000,4964.799805,4877.399902,4935.600098,4813.212402,1521480
2020-11-05,4972.750000,4999.299805,4922.100098,4958.500000,4835.544434,1034046
2020-11-06,4962.899902,4962.899902,4890.850098,4902.950195,4781.372070,1090442
2020-11-09,4925.000000,4954.000000,4870.000000,4879.649902,4758.649902,1205651
2020-11-10,4824.000000,4868.000000,4679.399902,4698.000000,4581.503906,1966030
2020-11-11,4730.000000,4919.899902,4691.100098,4882.149902,4761.087402,2707044
2020-11-12,4875.000000,4925.000000,4805.000000,4826.850098,4707.159668,1316470
2020-11-13,4850.000000,4884.850098,4830.049805,4856.899902,4736.463867,1091870
2020-11-14,4881.200195,4898.000000,4830.000000,4872.049805,4751.238281,135216
2020-11-17,4875.000000,4879.850098,4770.000000,4784.149902,4665.517090,1283213
2020-11-18,4785.000000,4795.000000,4675.000000,4703.799805,4587.160156,1300059
2020-11-19,4675.000000,4811.799805,4657.000000,4707.700195,4590.963867,1767289
2020-11-20,4730.000000,4752.299805,4656.299805,4670.950195,4555.125000,954936
2020-11-23,4685.000000,4870.000000,4671.100098,4828.750000,4709.012207,2152603
2020-11-24,4850.000000,4940.000000,4785.799805,4915.500000,4793.610840,1922298
2020-11-25,4998.000000,5017.000000,4781.000000,4806.299805,4687.118164,2659116
2020-11-26,4810.000000,4929.299805,4773.799805,4901.350098,4779.811523,1667235
2020-11-27,4901.000000,4935.549805,4809.200195,4828.950195,4709.207031,2003738
2020-12-01,4870.000000,4870.000000,4806.000000,4830.399902,4710.621094,1117190
2020-12-02,4852.100098,4889.000000,4811.000000,4850.250000,4729.978516,1223452
2020-12-03,4870.000000,4939.000000,4842.600098,4923.049805,4800.973633,1034893
2020-12-04,4940.000000,4960.549805,4862.100098,4908.549805,4786.833008,1399682
2020-12-07,4930.000000,5074.000000,4905.100098,5029.100098,4904.394043,2405904
2020-12-08,5050.000000,5080.000000,4955.899902,5015.200195,4890.838379,1327701
2020-12-09,5025.000000,5100.000000,5025.000000,5056.899902,4931.504395,1353498
2020-12-10,5058.000000,5086.399902,5015.000000,5053.100098,4927.798828,948294
